mass_A
t	x	y
1.760000000E0	-2.871142296E2	1.595224496E2
1.770000000E0	-2.993929259E2	1.737459311E2
1.780000000E0	-3.109954519E2	1.877609840E2
1.790000000E0	-3.222434964E2	2.017197999E2
1.800000000E0	-3.324639560E2	2.157100020E2
1.810000000E0	-3.420961711E2	2.294800570E2
1.820000000E0	-3.518052872E2	2.427010458E2
1.830000000E0	-3.609428993E2	2.556357235E2
1.840000000E0	-3.691104353E2	2.683834443E2
1.850000000E0	-3.775361197E2	2.802874577E2
1.860000000E0	-3.854579490E2	2.918788241E2
1.870000000E0	-3.925114838E2	3.028467642E2
1.880000000E0	-3.998004637E2	3.140441152E2
1.890000000E0	-4.070238328E2	3.238646008E2
1.900000000E0	-4.142972884E2	3.338547505E2
1.910000000E0	-4.213898650E2	3.440639021E2
1.920000000E0	-4.278045672E2	3.539886837E2
1.930000000E0	-4.336108564E2	3.637517604E2
1.940000000E0	-4.395225164E2	3.729121442E2
1.950000000E0	-4.455090424E2	3.812280914E2
1.960000000E0	-4.507508821E2	3.894133738E2
1.970000000E0	-4.555893286E2	3.971034101E2
1.980000000E0	-4.605641256E2	4.042701663E2
1.990000000E0	-4.651591883E2	4.111383774E2
2.000000000E0	-4.695820677E2	4.179210034E2
2.010000000E0	-4.736092110E2	4.242170015E2
2.020000000E0	-4.773455394E2	4.301486040E2
2.030000000E0	-4.807602383E2	4.354827320E2
2.040000000E0	-4.837119180E2	4.403062724E2
2.050000000E0	-4.863467140E2	4.447554704E2
2.060000000E0	-4.894467710E2	4.492939966E2
2.070000000E0	-4.917723968E2	4.531967261E2
2.080000000E0	-4.937625115E2	4.564333675E2
2.090000000E0	-4.954665719E2	4.593465183E2
2.100000000E0	-4.968517756E2	4.617032023E2
2.110000000E0	-4.978939869E2	4.634007063E2
2.120000000E0	-4.985944868E2	4.650220721E2
2.130000000E0	-4.996470986E2	4.663304531E2
2.140000000E0	-4.998856121E2	4.673306706E2
2.150000000E0	-5.004550626E2	4.675481604E2
2.160000000E0	-5.005422564E2	4.674526777E2
2.170000000E0	-5.000247117E2	4.673245505E2
2.180000000E0	-4.995887276E2	4.663918212E2
2.190000000E0	-4.987678257E2	4.652390285E2
2.200000000E0	-4.977709676E2	4.634250620E2
2.210000000E0	-4.965528027E2	4.613263905E2
2.220000000E0	-4.947293704E2	4.591419074E2
2.230000000E0	-4.928415287E2	4.563552511E2
2.240000000E0	-4.906516929E2	4.532637247E2
2.250000000E0	-4.885470632E2	4.493807307E2
2.260000000E0	-4.858550251E2	4.453465758E2
2.270000000E0	-4.827376656E2	4.410781675E2
2.280000000E0	-4.796459210E2	4.362359009E2
2.290000000E0	-4.757961298E2	4.311328478E2
2.300000000E0	-4.723480723E2	4.251718833E2
2.310000000E0	-4.684109965E2	4.190957126E2
2.320000000E0	-4.644673204E2	4.122385548E2
2.330000000E0	-4.600769785E2	4.052076828E2
2.340000000E0	-4.546185580E2	3.979438575E2
2.350000000E0	-4.495935192E2	3.901091498E2
2.360000000E0	-4.442941412E2	3.819655805E2
2.370000000E0	-4.385420799E2	3.738304447E2
2.380000000E0	-4.327206102E2	3.649912546E2
2.390000000E0	-4.265695961E2	3.556936520E2
2.400000000E0	-4.204826069E2	3.459787400E2
2.410000000E0	-4.135562619E2	3.359328135E2
2.420000000E0	-4.064187098E2	3.257159898E2
2.430000000E0	-3.998362132E2	3.144937542E2
2.440000000E0	-3.921924549E2	3.029310069E2
2.450000000E0	-3.846385100E2	2.915942111E2
2.460000000E0	-3.763123767E2	2.790218622E2
2.470000000E0	-3.681258057E2	2.664616410E2
2.480000000E0	-3.593134953E2	2.536648856E2
2.490000000E0	-3.502545963E2	2.403068062E2
2.500000000E0	-3.407610518E2	2.268723710E2
2.510000000E0	-3.303464043E2	2.127189295E2
2.520000000E0	-3.196709381E2	1.985982885E2
2.530000000E0	-3.081800209E2	1.842081876E2
2.540000000E0	-2.962016143E2	1.701365040E2
2.550000000E0	-2.837267743E2	1.558159682E2
2.560000000E0	-2.706195928E2	1.412347234E2
2.570000000E0	-2.565605546E2	1.279208497E2
2.580000000E0	-2.421976185E2	1.149519381E2
2.590000000E0	-2.262913105E2	1.003352818E2
2.600000000E0	-2.090864954E2	8.737384150E1
2.610000000E0	-1.916590505E2	7.510645744E1
2.620000000E0	-1.737837223E2	6.377300153E1
2.630000000E0	-1.545322167E2	5.354984021E1
2.640000000E0	-1.345768309E2	4.376649188E1
2.650000000E0	-1.139337572E2	3.576630672E1
2.660000000E0	-9.238150692E1	2.895572831E1
2.670000000E0	-7.079717637E1	2.266543383E1
2.680000000E0	-4.817289548E1	1.871475040E1
2.690000000E0	-2.572277972E1	1.603839462E1
2.700000000E0	-2.602883222E0	1.504700220E1
2.710000000E0	2.026828122E1	1.601652227E1
2.720000000E0	4.302555647E1	1.896223941E1
2.730000000E0	6.434946860E1	2.369013081E1
2.740000000E0	8.517863885E1	2.991785807E1
2.750000000E0	1.055367184E2	3.714385984E1
2.760000000E0	1.256917065E2	4.557362872E1
2.770000000E0	1.450299493E2	5.520834571E1
2.780000000E0	1.631921660E2	6.604725562E1
2.790000000E0	1.803394709E2	7.748659028E1
2.800000000E0	1.966940733E2	8.935204004E1
2.810000000E0	2.122627655E2	1.019255138E2
2.820000000E0	2.271110896E2	1.157210302E2
2.830000000E0	2.410287465E2	1.295588819E2
2.840000000E0	2.553667331E2	1.411124631E2
2.850000000E0	2.679092031E2	1.544066572E2
2.860000000E0	2.794462926E2	1.673524207E2
2.870000000E0	2.910935122E2	1.803159338E2
2.880000000E0	3.022959285E2	1.929233772E2
2.890000000E0	3.125373300E2	2.054209024E2
2.900000000E0	3.225137136E2	2.178583617E2
2.910000000E0	3.318075522E2	2.304290648E2
2.920000000E0	3.404064052E2	2.429393895E2
2.930000000E0	3.488242462E2	2.547152236E2
2.940000000E0	3.569904523E2	2.664223976E2
2.950000000E0	3.644995635E2	2.778134640E2
2.960000000E0	3.718652906E2	2.887048269E2
2.970000000E0	3.786609814E2	2.992171557E2
2.980000000E0	3.856442112E2	3.098774028E2
2.990000000E0	3.922158200E2	3.210403728E2
3.000000000E0	3.981413260E2	3.298789189E2
3.010000000E0	4.033594589E2	3.385083613E2
3.020000000E0	4.092684770E2	3.468674170E2
3.030000000E0	4.141461838E2	3.550178591E2
3.040000000E0	4.189288849E2	3.629061325E2
3.050000000E0	4.234738196E2	3.701339954E2
3.060000000E0	4.281866584E2	3.769127487E2
3.070000000E0	4.321648771E2	3.830955854E2
3.080000000E0	4.361822426E2	3.890576580E2
3.090000000E0	4.399915339E2	3.948670021E2
3.100000000E0	4.433058076E2	4.002795297E2
3.110000000E0	4.463462156E2	4.052535885E2
3.120000000E0	4.490913653E2	4.100778888E2
3.130000000E0	4.518686763E2	4.142567273E2
3.140000000E0	4.547222610E2	4.181454385E2
3.150000000E0	4.571647432E2	4.213559456E2
3.160000000E0	4.589769266E2	4.242704120E2
3.170000000E0	4.608810232E2	4.271407992E2
3.180000000E0	4.621803852E2	4.292656708E2
3.190000000E0	4.633904890E2	4.311528236E2
3.200000000E0	4.640498281E2	4.323322483E2
3.210000000E0	4.648999180E2	4.332415143E2
3.220000000E0	4.650735855E2	4.336159428E2
3.230000000E0	4.649599306E2	4.335246690E2
3.240000000E0	4.648908752E2	4.332585847E2
3.250000000E0	4.641365922E2	4.324101580E2
3.260000000E0	4.633255884E2	4.311234458E2
3.270000000E0	4.619815417E2	4.292621584E2
3.280000000E0	4.609103452E2	4.271782931E2
3.290000000E0	4.591067093E2	4.243078465E2
3.300000000E0	4.571048361E2	4.211776985E2
3.310000000E0	4.549495753E2	4.181205142E2
3.320000000E0	4.521089796E2	4.141689659E2
3.330000000E0	4.492559519E2	4.099630852E2
3.340000000E0	4.459392817E2	4.052676270E2
3.350000000E0	4.428652854E2	4.001670538E2
3.360000000E0	4.397042125E2	3.950216019E2
3.370000000E0	4.358780970E2	3.891149418E2
3.380000000E0	4.318651327E2	3.829851656E2
3.390000000E0	4.272543032E2	3.760081070E2
3.400000000E0	4.226201333E2	3.691179217E2
3.410000000E0	4.177239958E2	3.613411251E2
3.420000000E0	4.127874030E2	3.534905951E2
3.430000000E0	4.067538585E2	3.453197730E2
3.440000000E0	4.008853186E2	3.368139077E2
3.450000000E0	3.950316271E2	3.279310385E2
3.460000000E0	3.893443636E2	3.191371083E2
3.470000000E0	3.836005888E2	3.078527484E2
3.480000000E0	3.767847727E2	2.970923854E2
3.490000000E0	3.698486243E2	2.865956069E2
3.500000000E0	3.626366300E2	2.758334354E2
3.510000000E0	3.553150502E2	2.646882421E2
3.520000000E0	3.474733787E2	2.529422900E2
3.530000000E0	3.392501243E2	2.407004337E2
3.540000000E0	3.305378712E2	2.285325503E2
3.550000000E0	3.213095014E2	2.158679886E2
3.560000000E0	3.116464534E2	2.029341894E2
3.570000000E0	3.011778378E2	1.895162697E2
3.580000000E0	2.903758661E2	1.765076698E2
3.590000000E0	2.785587533E2	1.634842202E2
3.600000000E0	2.663545124E2	1.502525240E2
3.610000000E0	2.533632099E2	1.372613742E2
3.620000000E0	2.397571295E2	1.252774957E2
3.630000000E0	2.254613443E2	1.129317342E2
3.640000000E0	2.104819678E2	9.902082411E1
3.650000000E0	1.947086135E2	8.689170355E1
3.660000000E0	1.782700027E2	7.522930460E1
3.670000000E0	1.611698792E2	6.361049585E1
3.680000000E0	1.431594971E2	5.294136038E1
3.690000000E0	1.241500454E2	4.320229997E1
3.700000000E0	1.044723588E2	3.495883152E1
3.710000000E0	8.409428156E1	2.767276314E1
3.720000000E0	6.287675999E1	2.229599019E1
3.730000000E0	4.172060624E1	1.803799846E1
3.740000000E0	1.994529469E1	1.550062335E1
3.750000000E0	-1.860641660E0	1.482571372E1
3.760000000E0	-2.379376758E1	1.593498827E1
3.770000000E0	-4.481686283E1	1.874159195E1
3.780000000E0	-6.571412023E1	2.296160797E1
3.790000000E0	-8.638447875E1	2.934296964E1
3.800000000E0	-1.062021679E2	3.537087214E1
3.810000000E0	-1.255590036E2	4.288274844E1
3.820000000E0	-1.438078177E2	5.108825211E1
3.830000000E0	-1.617762984E2	6.005059408E1
3.840000000E0	-1.790475275E2	7.004678597E1
3.850000000E0	-1.956547548E2	8.084133815E1
3.860000000E0	-2.114904662E2	9.214309187E1
3.870000000E0	-2.267335527E2	1.037493726E2
3.880000000E0	-2.410623993E2	1.160750450E2
3.890000000E0	-2.541781217E2	1.299012346E2
3.900000000E0	-2.671818428E2	1.407064493E2
3.910000000E0	-2.791629681E2	1.531531210E2
3.920000000E0	-2.904570416E2	1.655473191E2
3.930000000E0	-3.011840395E2	1.780919538E2
3.940000000E0	-3.111938353E2	1.905806600E2
3.950000000E0	-3.202615641E2	2.026011794E2
3.960000000E0	-3.292527115E2	2.144192386E2
3.970000000E0	-3.374074669E2	2.256937134E2
3.980000000E0	-3.452439988E2	2.366959285E2
3.990000000E0	-3.531306830E2	2.474544976E2
4.000000000E0	-3.603299989E2	2.580728823E2
4.010000000E0	-3.674164160E2	2.686610691E2
4.020000000E0	-3.741039291E2	2.786824205E2
4.030000000E0	-3.804712458E2	2.879489025E2
4.040000000E0	-3.865545113E2	2.970341524E2
4.050000000E0	-3.923280350E2	3.059315267E2
4.060000000E0	-3.981178005E2	3.146773080E2
4.070000000E0	-4.037070370E2	3.241801806E2
4.080000000E0	-4.081689730E2	3.310260912E2
4.090000000E0	-4.130450412E2	3.379600232E2
4.100000000E0	-4.177300732E2	3.446730292E2
4.110000000E0	-4.219298177E2	3.511758905E2
4.120000000E0	-4.256219853E2	3.570723425E2
4.130000000E0	-4.293000801E2	3.628562226E2
4.140000000E0	-4.325201534E2	3.681008681E2
4.150000000E0	-4.354418307E2	3.730401243E2
4.160000000E0	-4.383383058E2	3.772337549E2
4.170000000E0	-4.408434977E2	3.811285446E2
4.180000000E0	-4.431147151E2	3.848034302E2
4.190000000E0	-4.456136964E2	3.880822175E2
4.200000000E0	-4.475603239E2	3.909956983E2
4.210000000E0	-4.494422214E2	3.934471011E2
4.220000000E0	-4.511335400E2	3.953550237E2
4.230000000E0	-4.525182482E2	3.971136171E2
4.240000000E0	-4.535838022E2	3.982737037E2
4.250000000E0	-4.544239920E2	3.991330054E2
