mass_A
t	x	y
0.000000000E0	-6.841036181E-1	6.863368440E-1
1.000000000E-2	-6.839633716E-1	6.861965975E-1
2.000000000E-2	-6.839571400E-1	6.861996881E-1
3.000000000E-2	-6.839548570E-1	6.862055933E-1
4.000000000E-2	-6.839513810E-1	6.862029632E-1
5.000000000E-2	-6.839418737E-1	6.861974187E-1
6.000000000E-2	-6.839464383E-1	6.861857904E-1
7.000000000E-2	-6.839571088E-1	6.861949515E-1
8.000000000E-2	-6.839583936E-1	6.862005177E-1
9.000000000E-2	-6.839529258E-1	6.862046875E-1
1.000000000E-1	-6.839588504E-1	6.862009406E-1
1.100000000E-1	-6.839601132E-1	6.861964664E-1
1.200000000E-1	-6.839592603E-1	6.861935303E-1
1.300000000E-1	-6.839608180E-1	6.861960432E-1
1.400000000E-1	-6.839648514E-1	6.862034336E-1
1.500000000E-1	-6.839645551E-1	6.861986600E-1
1.600000000E-1	-6.839586440E-1	6.861982091E-1
1.700000000E-1	-6.839491104E-1	6.862035396E-1
1.800000000E-1	-6.839595059E-1	6.862016929E-1
1.900000000E-1	-6.839678752E-1	6.861986627E-1
2.000000000E-1	-6.839680697E-1	6.862117328E-1
2.100000000E-1	-6.839755294E-1	6.862121608E-1
2.200000000E-1	-6.839660452E-1	6.862271269E-1
2.300000000E-1	-6.839453277E-1	6.862438595E-1
2.400000000E-1	-6.839067261E-1	6.861509633E-1
2.500000000E-1	-6.836923823E-1	6.858409922E-1
2.600000000E-1	-6.830692923E-1	6.848671128E-1
2.700000000E-1	-6.819564152E-1	6.831030768E-1
2.800000000E-1	-6.804133030E-1	6.812456283E-1
2.900000000E-1	-6.787473957E-1	6.783762000E-1
3.000000000E-1	-6.767408647E-1	6.746397001E-1
3.100000000E-1	-6.740830340E-1	6.705288432E-1
3.200000000E-1	-6.713861763E-1	6.663359274E-1
3.300000000E-1	-6.682436089E-1	6.611674316E-1
3.400000000E-1	-6.651400440E-1	6.555117336E-1
3.500000000E-1	-6.613320792E-1	6.496662273E-1
3.600000000E-1	-6.574775124E-1	6.433399060E-1
3.700000000E-1	-6.532515731E-1	6.360878761E-1
3.800000000E-1	-6.487368619E-1	6.283092858E-1
3.900000000E-1	-6.437535738E-1	6.201130766E-1
4.000000000E-1	-6.385143662E-1	6.118210346E-1
4.100000000E-1	-6.326191297E-1	6.021855270E-1
4.200000000E-1	-6.269835329E-1	5.924244925E-1
4.300000000E-1	-6.207688868E-1	5.821239772E-1
4.400000000E-1	-6.143892777E-1	5.714372714E-1
4.500000000E-1	-6.072122087E-1	5.601419656E-1
4.600000000E-1	-5.996470476E-1	5.482843005E-1
4.700000000E-1	-5.919056985E-1	5.353627823E-1
4.800000000E-1	-5.840948198E-1	5.224425571E-1
4.900000000E-1	-5.756860187E-1	5.089008934E-1
5.000000000E-1	-5.668967430E-1	4.950220602E-1
5.100000000E-1	-5.579222330E-1	4.808977180E-1
5.200000000E-1	-5.482137716E-1	4.658123181E-1
5.300000000E-1	-5.382043685E-1	4.504146051E-1
5.400000000E-1	-5.275882738E-1	4.346543814E-1
5.500000000E-1	-5.164629459E-1	4.181021040E-1
5.600000000E-1	-5.058544947E-1	4.027265307E-1
