mass_A
t	x	y
1.000000000E-2	-6.818644242E-1	6.809464547E-1
2.000000000E-2	-6.796264953E-1	6.782787289E-1
3.000000000E-2	-6.775412942E-1	6.748877660E-1
4.000000000E-2	-6.753017871E-1	6.710364060E-1
5.000000000E-2	-6.726428672E-1	6.667636976E-1
6.000000000E-2	-6.695219396E-1	6.619608649E-1
7.000000000E-2	-6.663993630E-1	6.561602886E-1
8.000000000E-2	-6.627789307E-1	6.498703083E-1
9.000000000E-2	-6.589314151E-1	6.433277061E-1
1.000000000E-1	-6.542798994E-1	6.367278207E-1
1.100000000E-1	-6.493410252E-1	6.293397466E-1
1.200000000E-1	-6.441697845E-1	6.215615555E-1
1.300000000E-1	-6.390551373E-1	6.128572535E-1
1.400000000E-1	-6.340188221E-1	6.032942389E-1
1.500000000E-1	-6.277343466E-1	5.937245622E-1
1.600000000E-1	-6.215032968E-1	5.838560620E-1
1.700000000E-1	-6.151599813E-1	5.729241321E-1
1.800000000E-1	-6.080258140E-1	5.619000527E-1
1.900000000E-1	-6.002590478E-1	5.499887505E-1
2.000000000E-1	-5.926808403E-1	5.374952135E-1
2.100000000E-1	-5.845873234E-1	5.245362683E-1
2.200000000E-1	-5.766357317E-1	5.113015866E-1
2.300000000E-1	-5.676183527E-1	4.976194424E-1
2.400000000E-1	-5.584148342E-1	4.833141654E-1
2.500000000E-1	-5.493093633E-1	4.683211724E-1
2.600000000E-1	-5.396994263E-1	4.532014519E-1
2.700000000E-1	-5.295327078E-1	4.375438243E-1
2.800000000E-1	-5.185011708E-1	4.217193031E-1
2.900000000E-1	-5.073870999E-1	4.057250151E-1
3.000000000E-1	-4.954499504E-1	3.890507381E-1
3.100000000E-1	-4.846295519E-1	3.701180852E-1
3.200000000E-1	-4.718687082E-1	3.514921579E-1
3.300000000E-1	-4.591404540E-1	3.333359538E-1
3.400000000E-1	-4.464448406E-1	3.137592868E-1
3.500000000E-1	-4.327141760E-1	2.942967929E-1
3.600000000E-1	-4.185891378E-1	2.744738270E-1
3.700000000E-1	-4.036011025E-1	2.542072923E-1
3.800000000E-1	-3.877521642E-1	2.338569865E-1
3.900000000E-1	-3.710275288E-1	2.138930956E-1
4.000000000E-1	-3.533619323E-1	1.937919384E-1
4.100000000E-1	-3.345541099E-1	1.737277813E-1
4.200000000E-1	-3.145062296E-1	1.534936645E-1
4.300000000E-1	-2.927783697E-1	1.342164844E-1
4.400000000E-1	-2.707116763E-1	1.163781272E-1
4.500000000E-1	-2.469908877E-1	9.857869697E-2
4.600000000E-1	-2.217576520E-1	8.199244213E-2
4.700000000E-1	-1.951640631E-1	6.687813269E-2
4.800000000E-1	-1.678146500E-1	5.390308713E-2
4.900000000E-1	-1.407351704E-1	4.271490301E-2
5.000000000E-1	-1.121526393E-1	3.413703635E-2
5.100000000E-1	-8.143832364E-2	2.492059013E-2
5.200000000E-1	-5.045616124E-2	1.927043977E-2
5.300000000E-1	-1.945941640E-2	1.621717400E-2
5.400000000E-1	1.136809854E-2	1.551166447E-2
5.500000000E-1	4.198019923E-2	1.777589974E-2
5.600000000E-1	7.300042203E-2	2.271262652E-2
5.700000000E-1	1.018002979E-1	3.052488426E-2
5.800000000E-1	1.311048114E-1	4.032171541E-2
5.900000000E-1	1.586530326E-1	5.201880184E-2
6.000000000E-1	1.848990973E-1	6.556122104E-2
6.100000000E-1	2.102838957E-1	8.053437304E-2
6.200000000E-1	2.339328920E-1	9.684401752E-2
6.300000000E-1	2.566148571E-1	1.135645222E-1
6.400000000E-1	2.768772139E-1	1.313005248E-1
6.500000000E-1	2.981937060E-1	1.488416140E-1
6.600000000E-1	3.181227516E-1	1.673022905E-1
6.700000000E-1	3.367334808E-1	1.861821510E-1
6.800000000E-1	3.540731575E-1	2.047954138E-1
6.900000000E-1	3.711781534E-1	2.234695688E-1
7.000000000E-1	3.868699821E-1	2.418301023E-1
7.100000000E-1	4.017940993E-1	2.604772275E-1
7.200000000E-1	4.165323643E-1	2.788081704E-1
7.300000000E-1	4.299815314E-1	2.968824348E-1
7.400000000E-1	4.428911394E-1	3.148482863E-1
7.500000000E-1	4.557794993E-1	3.323603227E-1
7.600000000E-1	4.671132235E-1	3.491093453E-1
7.700000000E-1	4.785699402E-1	3.656541826E-1
7.800000000E-1	4.865707165E-1	3.846279353E-1
7.900000000E-1	4.999874943E-1	3.977914882E-1
8.000000000E-1	5.100306615E-1	4.129060776E-1
8.100000000E-1	5.198774551E-1	4.276040342E-1
8.200000000E-1	5.289018052E-1	4.417694863E-1
8.300000000E-1	5.375654275E-1	4.551695170E-1
8.400000000E-1	5.459361311E-1	4.685824798E-1
8.500000000E-1	5.543797093E-1	4.811379706E-1
8.600000000E-1	5.623159210E-1	4.933549445E-1
8.700000000E-1	5.702108754E-1	5.048767140E-1
8.800000000E-1	5.769320667E-1	5.160999605E-1
8.900000000E-1	5.837587702E-1	5.272523824E-1
9.000000000E-1	5.903340165E-1	5.376149282E-1
9.100000000E-1	5.967115233E-1	5.472504067E-1
9.200000000E-1	6.027999866E-1	5.564524976E-1
9.300000000E-1	6.081890892E-1	5.650921286E-1
9.400000000E-1	6.129648623E-1	5.733211882E-1
9.500000000E-1	6.177757980E-1	5.807557057E-1
9.600000000E-1	6.222321140E-1	5.875332097E-1
9.700000000E-1	6.268024964E-1	5.941179147E-1
9.800000000E-1	6.307300992E-1	6.003191861E-1
9.900000000E-1	6.340642748E-1	6.057394929E-1
1.000000000E0	6.370473622E-1	6.106138504E-1
1.010000000E0	6.396170510E-1	6.150907890E-1
1.020000000E0	6.420648266E-1	6.189953616E-1
1.030000000E0	6.444550211E-1	6.221209917E-1
1.040000000E0	6.458250325E-1	6.251113730E-1
1.050000000E0	6.470931467E-1	6.279386193E-1
1.060000000E0	6.483271613E-1	6.294810094E-1
1.070000000E0	6.493603415E-1	6.304830653E-1
1.080000000E0	6.496470932E-1	6.315294005E-1
1.090000000E0	6.496324414E-1	6.318870048E-1
1.100000000E0	6.495004929E-1	6.317378705E-1
1.110000000E0	6.491648263E-1	6.306087924E-1
1.120000000E0	6.483464025E-1	6.294027310E-1
1.130000000E0	6.470542204E-1	6.279060950E-1
1.140000000E0	6.457644800E-1	6.255446590E-1
1.150000000E0	6.441673333E-1	6.226336482E-1
1.160000000E0	6.424026861E-1	6.196299566E-1
1.170000000E0	6.398096274E-1	6.157386015E-1
1.180000000E0	6.369777382E-1	6.115267371E-1
1.190000000E0	6.337167247E-1	6.067310926E-1
1.200000000E0	6.304097253E-1	6.012829406E-1
1.210000000E0	6.269074458E-1	5.953131478E-1
1.220000000E0	6.228951452E-1	5.887847910E-1
1.230000000E0	6.182672342E-1	5.817129097E-1
1.240000000E0	6.131715583E-1	5.741722544E-1
1.250000000E0	6.080726006E-1	5.661890866E-1
1.260000000E0	6.029203813E-1	5.575160892E-1
1.270000000E0	5.971448266E-1	5.481238519E-1
1.280000000E0	5.906710134E-1	5.381696649E-1
1.290000000E0	5.841398883E-1	5.279217540E-1
1.300000000E0	5.769758067E-1	5.167939088E-1
1.310000000E0	5.694442719E-1	5.059917698E-1
1.320000000E0	5.615509875E-1	4.944686679E-1
1.330000000E0	5.536866549E-1	4.819863829E-1
1.340000000E0	5.453447334E-1	4.688864743E-1
1.350000000E0	5.365261705E-1	4.549102286E-1
1.360000000E0	5.274476687E-1	4.407054006E-1
1.370000000E0	5.175394746E-1	4.264759732E-1
