mass_A
t	x	y
0.000000000E0	-6.800074410E-1	6.785472347E-1
2.000000000E-2	-6.749778384E-1	6.705865854E-1
3.000000000E-2	-6.722509170E-1	6.659201432E-1
4.000000000E-2	-6.689302548E-1	6.608688453E-1
5.000000000E-2	-6.657374737E-1	6.547927693E-1
6.000000000E-2	-6.621381453E-1	6.485970537E-1
7.000000000E-2	-6.577825402E-1	6.422220459E-1
8.000000000E-2	-6.535465795E-1	6.348987036E-1
9.000000000E-2	-6.485830416E-1	6.270259217E-1
1.000000000E-1	-6.436599878E-1	6.185719478E-1
1.100000000E-1	-6.383090694E-1	6.093770418E-1
1.200000000E-1	-6.323505253E-1	6.002151092E-1
1.300000000E-1	-6.263763508E-1	5.904709394E-1
1.400000000E-1	-6.197229826E-1	5.802150937E-1
1.500000000E-1	-6.130512637E-1	5.690311107E-1
1.600000000E-1	-6.057428398E-1	5.575192327E-1
1.700000000E-1	-5.984644873E-1	5.452001469E-1
1.800000000E-1	-5.909658168E-1	5.325372384E-1
1.900000000E-1	-5.830076936E-1	5.194406460E-1
2.000000000E-1	-5.738835283E-1	5.059440987E-1
2.100000000E-1	-5.645125612E-1	4.921635932E-1
2.200000000E-1	-5.553081365E-1	4.771632669E-1
2.300000000E-1	-5.457152757E-1	4.621888447E-1
2.400000000E-1	-5.355964843E-1	4.464998564E-1
2.500000000E-1	-5.243075467E-1	4.303010064E-1
2.600000000E-1	-5.130069072E-1	4.138821213E-1
2.700000000E-1	-5.023563946E-1	3.969783247E-1
2.800000000E-1	-4.903353454E-1	3.783152833E-1
2.900000000E-1	-4.783842093E-1	3.602509917E-1
3.000000000E-1	-4.656463318E-1	3.422423181E-1
3.100000000E-1	-4.526744031E-1	3.230979095E-1
3.200000000E-1	-4.388749799E-1	3.034256756E-1
3.300000000E-1	-4.247634112E-1	2.837149340E-1
3.400000000E-1	-4.099346262E-1	2.636852008E-1
3.500000000E-1	-3.944324341E-1	2.429119674E-1
3.600000000E-1	-3.780212099E-1	2.229898376E-1
3.700000000E-1	-3.603910833E-1	2.027311735E-1
3.800000000E-1	-3.420069152E-1	1.825079072E-1
3.900000000E-1	-3.214903876E-1	1.640504102E-1
4.000000000E-1	-3.020165929E-1	1.450953166E-1
4.100000000E-1	-2.806000190E-1	1.253888780E-1
4.200000000E-1	-2.574666393E-1	1.073900291E-1
4.300000000E-1	-2.335406954E-1	9.083104611E-2
4.400000000E-1	-2.081299445E-1	7.502027651E-2
4.500000000E-1	-1.811892605E-1	6.083754987E-2
4.600000000E-1	-1.532799030E-1	4.855086207E-2
4.700000000E-1	-1.238379552E-1	3.721604876E-2
4.800000000E-1	-9.465581876E-2	2.897170961E-2
4.900000000E-1	-6.398689975E-2	2.168717840E-2
5.000000000E-1	-3.355027294E-2	1.724753860E-2
5.100000000E-1	-2.362772010E-3	1.509770664E-2
5.200000000E-1	2.852219308E-2	1.600492273E-2
5.300000000E-1	5.917058439E-2	1.976790853E-2
5.400000000E-1	8.891734942E-2	2.605797273E-2
5.500000000E-1	1.182092308E-1	3.028113398E-2
5.600000000E-1	1.458401474E-1	4.080399935E-2
5.700000000E-1	1.720608053E-1	5.372580903E-2
5.800000000E-1	1.977902348E-1	6.776493206E-2
5.900000000E-1	2.222473630E-1	8.340871589E-2
6.000000000E-1	2.450111019E-1	1.002163763E-1
