mass_A
t	x	y
1.000000000E-2	-6.739283123E-1	6.703286834E-1
2.000000000E-2	-6.704624967E-1	6.651654536E-1
3.000000000E-2	-6.671683007E-1	6.590895040E-1
4.000000000E-2	-6.634593944E-1	6.526469229E-1
5.000000000E-2	-6.590296473E-1	6.462350476E-1
6.000000000E-2	-6.547117745E-1	6.387855529E-1
7.000000000E-2	-6.498148746E-1	6.310038132E-1
8.000000000E-2	-6.448855128E-1	6.225345469E-1
9.000000000E-2	-6.395918698E-1	6.135199083E-1
1.000000000E-1	-6.336519068E-1	6.041489799E-1
1.100000000E-1	-6.275385191E-1	5.945785821E-1
1.200000000E-1	-6.210665898E-1	5.835955498E-1
1.300000000E-1	-6.145476017E-1	5.720824508E-1
1.400000000E-1	-6.071647161E-1	5.606592451E-1
1.500000000E-1	-5.994316744E-1	5.486535760E-1
1.600000000E-1	-5.915879825E-1	5.362546210E-1
1.700000000E-1	-5.837814480E-1	5.228007691E-1
1.800000000E-1	-5.755977135E-1	5.090330287E-1
1.900000000E-1	-5.665269014E-1	4.949332686E-1
2.000000000E-1	-5.567356943E-1	4.807481298E-1
2.100000000E-1	-5.466461242E-1	4.656224390E-1
2.200000000E-1	-5.365203133E-1	4.500838170E-1
2.300000000E-1	-5.259941652E-1	4.333726967E-1
2.400000000E-1	-5.149300930E-1	4.167017088E-1
2.500000000E-1	-5.037243191E-1	3.995245736E-1
2.600000000E-1	-4.913189676E-1	3.812327080E-1
2.700000000E-1	-4.796120332E-1	3.631098591E-1
2.800000000E-1	-4.666517987E-1	3.444905576E-1
2.900000000E-1	-4.534917803E-1	3.258881175E-1
3.000000000E-1	-4.398337570E-1	3.060888551E-1
3.100000000E-1	-4.254807990E-1	2.857503962E-1
3.200000000E-1	-4.104914861E-1	2.657402420E-1
3.300000000E-1	-3.946907253E-1	2.451138167E-1
3.400000000E-1	-3.786298458E-1	2.246132158E-1
3.500000000E-1	-3.613259388E-1	2.047863574E-1
3.600000000E-1	-3.424796023E-1	1.847009770E-1
3.700000000E-1	-3.220484188E-1	1.661582861E-1
3.800000000E-1	-3.017251276E-1	1.471261945E-1
3.900000000E-1	-2.796720474E-1	1.271778335E-1
4.000000000E-1	-2.563080722E-1	1.092831456E-1
4.100000000E-1	-2.321584733E-1	9.242316701E-2
4.200000000E-1	-2.069095145E-1	7.746407864E-2
4.300000000E-1	-1.803200019E-1	6.356799147E-2
4.400000000E-1	-1.524975413E-1	5.122709166E-2
4.500000000E-1	-1.225228135E-1	4.006545292E-2
4.600000000E-1	-9.369633223E-2	3.116852461E-2
4.700000000E-1	-6.272515468E-2	2.452096312E-2
4.800000000E-1	-3.190233554E-2	2.003674397E-2
4.900000000E-1	-8.711095730E-4	1.833281395E-2
5.000000000E-1	3.068099891E-2	1.958850365E-2
5.100000000E-1	6.100469085E-2	2.365065748E-2
5.200000000E-1	9.266707651E-2	3.181761353E-2
5.300000000E-1	1.216011920E-1	4.079032582E-2
5.400000000E-1	1.495565205E-1	5.213747067E-2
5.500000000E-1	1.761775940E-1	6.516553606E-2
5.600000000E-1	2.015052650E-1	7.990110109E-2
5.700000000E-1	2.258390737E-1	9.637747604E-2
5.800000000E-1	2.488287623E-1	1.132752391E-1
5.900000000E-1	2.712133252E-1	1.307464215E-1
6.000000000E-1	2.917903439E-1	1.494959394E-1
6.100000000E-1	3.104986666E-1	1.686429748E-1
6.200000000E-1	3.311225269E-1	1.863508190E-1
6.300000000E-1	3.487963465E-1	2.050102464E-1
6.400000000E-1	3.661634159E-1	2.239259713E-1
6.500000000E-1	3.827391734E-1	2.427622268E-1
6.600000000E-1	3.979307883E-1	2.617494069E-1
6.700000000E-1	4.128601452E-1	2.805356992E-1
6.800000000E-1	4.269573587E-1	2.992543464E-1
6.900000000E-1	4.397318261E-1	3.180438124E-1
7.000000000E-1	4.525923703E-1	3.361760398E-1
7.100000000E-1	4.644036150E-1	3.536731327E-1
7.200000000E-1	4.763738320E-1	3.706407837E-1
7.300000000E-1	4.861190204E-1	3.881482342E-1
7.400000000E-1	4.964433640E-1	4.059202693E-1
7.500000000E-1	5.064146468E-1	4.199811086E-1
7.600000000E-1	5.162767567E-1	4.333016907E-1
7.700000000E-1	5.261119837E-1	4.473077187E-1
7.800000000E-1	5.355595294E-1	4.607574894E-1
7.900000000E-1	5.440838558E-1	4.743340222E-1
8.000000000E-1	5.521400943E-1	4.876777102E-1
8.100000000E-1	5.596733453E-1	5.002374207E-1
8.200000000E-1	5.671155286E-1	5.125638358E-1
8.300000000E-1	5.743085113E-1	5.242606327E-1
8.400000000E-1	5.814483804E-1	5.354381236E-1
8.500000000E-1	5.885250213E-1	5.463033477E-1
8.600000000E-1	5.947223293E-1	5.568247323E-1
8.700000000E-1	6.008504806E-1	5.667639577E-1
8.800000000E-1	6.063609355E-1	5.758242340E-1
8.900000000E-1	6.111816958E-1	5.844987267E-1
9.000000000E-1	6.159251663E-1	5.924879378E-1
9.100000000E-1	6.206914134E-1	5.998053985E-1
9.200000000E-1	6.257201168E-1	6.068944676E-1
9.300000000E-1	6.299066643E-1	6.135861409E-1
9.400000000E-1	6.335881541E-1	6.197819801E-1
9.500000000E-1	6.369860312E-1	6.251521419E-1
9.600000000E-1	6.400472980E-1	6.299816363E-1
9.700000000E-1	6.425491367E-1	6.342053161E-1
9.800000000E-1	6.449810085E-1	6.375694215E-1
9.900000000E-1	6.470088984E-1	6.409908018E-1
1.000000000E0	6.490261090E-1	6.438364886E-1
